Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
IndiGo - 6706,DEL,BOM,IndiGo ,18:00,20:20,2h 20m,"10,877",17-08-2025,Economy
IndiGo - 864,DEL,BOM,IndiGo ,17:00,19:20,2h 20m,"10,877",17-08-2025,Economy
Akasa Air - 1128,DEL,BOM,Akasa Air ,16:00,18:05,2h 05m,"11,586",17-08-2025,Economy
IndiGo - 395,DEL,BOM,IndiGo ,21:00,23:25,2h 25m,"10,877",17-08-2025,Economy
IndiGo - 6318,DEL,BOM,IndiGo ,15:30,17:50,2h 20m,"11,803",17-08-2025,Economy
IndiGo - 2163,DEL,BOM,IndiGo ,20:00,22:20,2h 20m,"11,803",17-08-2025,Economy
IndiGo - 354,DEL,BOM,IndiGo ,19:00,21:20,2h 20m,"11,803",17-08-2025,Economy
Air India - 2981,DEL,BOM,Air India ,21:00,23:20,2h 20m,"12,061",17-08-2025,Economy
IndiGo - 5091,HDO,BOM,IndiGo ,17:40,20:05,2h 25m,"11,789",17-08-2025,Economy
Air India - 2805,DEL,BOM,Air India ,20:00,22:25,2h 25m,"12,061",17-08-2025,Economy
Air India - 2977,DEL,BOM,Air India ,19:00,21:30,2h 30m,"12,061",17-08-2025,Economy
Air India - 2957,DEL,BOM,Air India ,20:30,23:05,2h 35m,"12,061",17-08-2025,Economy
Air India - 2985,DEL,BOM,Air India ,19:30,22:00,2h 30m,"12,290",17-08-2025,Economy
Air India - 2424,BOM,DEL,Air India ,04:25,06:35,2h 10m,"5,195",18-08-2025,Economy
Air India - 2422,BOM,DEL,Air India ,01:50,04:10,2h 20m,"5,195",18-08-2025,Economy
IndiGo - 2517,BOM,HDO,IndiGo ,07:40,09:40,2h,"6,411",18-08-2025,Economy
Air India - 2930,BOM,DEL,Air India ,05:15,07:35,2h 20m,"5,936",18-08-2025,Economy
Akasa Air - 1127,BOM,DEL,Akasa Air ,13:00,15:15,2h 15m,"6,189",18-08-2025,Economy
IndiGo - 2775,BOM,DEL,IndiGo ,01:15,03:15,2h,"6,664",18-08-2025,Economy
Akasa Air - 1410,BOM,DEL,Akasa Air ,07:05,09:20,2h 15m,"6,481",18-08-2025,Economy
IndiGo - 762,BOM,DEL,IndiGo ,06:00,07:55,1h 55m,"7,216",18-08-2025,Economy
IndiGo - 615,BOM,DEL,IndiGo ,13:35,15:45,2h 10m,"6,664",18-08-2025,Economy
IndiGo - 6028,BOM,DEL,IndiGo ,12:30,14:40,2h 10m,"6,664",18-08-2025,Economy
SpiceJet - 709,DEL,BOM,SpiceJet ,19:45,21:55,2h 10m,"5,319",18-08-2025,Economy
Air India - 2999,DEL,BOM,Air India ,22:00,00:15,2h 15m,"5,801",18-08-2025,Economy
SpiceJet - 546,DEL,BOM,SpiceJet ,20:10,22:40,2h 30m,"5,319",18-08-2025,Economy
Air India - 2433,DEL,BOM,Air India ,21:30,23:55,2h 25m,"5,801",18-08-2025,Economy
Air India - 2985,DEL,BOM,Air India ,19:30,22:00,2h 30m,"5,904",18-08-2025,Economy
Akasa Air - 1128,DEL,BOM,Akasa Air ,16:00,18:20,2h 20m,"6,453",18-08-2025,Economy
IndiGo - 519,DEL,BOM,IndiGo ,23:30,01:45,2h 15m,"6,723",18-08-2025,Economy
Air India - 2994,BOM,DEL,Air India ,10:30,12:45,2h 15m,"6,969",18-08-2025,Economy
Air India - 2419,BOM,DEL,Air India ,11:40,13:55,2h 15m,"6,969",18-08-2025,Economy
Air India - 2986,BOM,DEL,Air India ,00:50,03:00,2h 10m,"6,969",18-08-2025,Economy
IndiGo - 656,BOM,DEL,IndiGo ,05:00,07:05,2h 05m,"7,216",18-08-2025,Economy
IndiGo - 6045,BOM,DEL,IndiGo ,03:00,05:15,2h 15m,"6,664",18-08-2025,Economy
IndiGo - 6827,BOM,DEL,IndiGo ,11:15,13:30,2h 15m,"7,216",18-08-2025,Economy
Air India - 2954,BOM,DEL,Air India ,02:35,05:00,2h 25m,"6,969",18-08-2025,Economy
Air India Exp - 1176,BOM,HDO,Air India Exp ,04:30,06:45,2h 15m,"7,215",18-08-2025,Economy
IndiGo - 6052,BOM,DEL,IndiGo ,10:00,12:20,2h 20m,"7,216",18-08-2025,Economy
Air India - 2428,BOM,DEL,Air India ,06:40,08:45,2h 05m,"8,084",18-08-2025,Economy
Air India Exp - 1124,BOM,DEL,Air India Exp ,00:35,02:55,2h 20m,"7,217",18-08-2025,Economy
Air India - 2970,BOM,DEL,Air India ,07:45,09:55,2h 10m,"8,013",18-08-2025,Economy
Air India - 2960,BOM,DEL,Air India ,09:25,11:40,2h 15m,"7,869",18-08-2025,Economy
Air India - 2430,BOM,DEL,Air India ,10:00,12:15,2h 15m,"7,869",18-08-2025,Economy
Air India - 2944,BOM,DEL,Air India ,14:40,16:55,2h 15m,"7,869",18-08-2025,Economy
Air India - 2432,BOM,DEL,Air India ,08:45,10:55,2h 10m,"8,084",18-08-2025,Economy
IndiGo - 6704,BOM,DEL,IndiGo ,15:00,17:15,2h 15m,"7,819",18-08-2025,Economy
Air India - 2952,BOM,DEL,Air India ,12:30,14:55,2h 25m,"7,869",18-08-2025,Economy
IndiGo - 333,BOM,DEL,IndiGo ,08:05,10:15,2h 10m,"8,476",18-08-2025,Economy
IndiGo - 301,BOM,DEL,IndiGo ,07:00,09:10,2h 10m,"8,476",18-08-2025,Economy
Air India Exp - 1146,BOM,DEL,Air India Exp ,02:15,04:40,2h 25m,"7,825",18-08-2025,Economy
Air India - 2591,BOM,IDR,Air India ,07:20,11:15,3h 55m,"7,869",18-08-2025,Economy
IndiGo - 6706,DEL,BOM,IndiGo ,18:00,20:20,2h 20m,"6,723",18-08-2025,Economy
IndiGo - 354,DEL,BOM,IndiGo ,19:00,21:20,2h 20m,"6,723",18-08-2025,Economy
IndiGo - 6114,DEL,BOM,IndiGo ,22:00,00:20,2h 20m,"6,723",18-08-2025,Economy
IndiGo - 2163,DEL,BOM,IndiGo ,20:00,22:20,2h 20m,"6,723",18-08-2025,Economy
IndiGo - 395,DEL,BOM,IndiGo ,21:00,23:25,2h 25m,"6,723",18-08-2025,Economy
IndiGo - 864,DEL,BOM,IndiGo ,17:00,19:20,2h 20m,"7,276",18-08-2025,Economy
IndiGo - 5091,HDO,BOM,IndiGo ,17:40,20:05,2h 25m,"7,247",18-08-2025,Economy
Air India Exp - 1145,DEL,BOM,Air India Exp ,23:00,01:25,2h 25m,"7,276",18-08-2025,Economy
Akasa Air - 1128,DEL,BOM,Akasa Air ,16:00,18:05,2h 05m,"8,106",18-08-2025,Economy
Air India - 2981,DEL,BOM,Air India ,21:00,23:20,2h 20m,"7,837",18-08-2025,Economy
Air India - 2805,DEL,BOM,Air India ,20:00,22:25,2h 25m,"7,837",18-08-2025,Economy
Air India - 2439,DEL,BOM,Air India ,23:00,01:25,2h 25m,"7,837",18-08-2025,Economy
IndiGo - 6318,DEL,BOM,IndiGo ,15:30,17:50,2h 20m,"7,877",18-08-2025,Economy
Air India - 2955,DEL,BOM,Air India ,17:55,20:15,2h 20m,"8,125",18-08-2025,Economy
Air India - 2977,DEL,BOM,Air India ,19:00,21:30,2h 30m,"7,837",18-08-2025,Economy
Air India - 2957,DEL,BOM,Air India ,20:30,23:05,2h 35m,"7,837",18-08-2025,Economy
Air India Exp - 1163,DEL,BOM,Air India Exp ,17:00,19:30,2h 30m,"8,161",18-08-2025,Economy
Air India - 441,DEL,BOM,Air India ,17:15,20:05,2h 50m,"7,837",18-08-2025,Economy
Air India - 2986,BOM,DEL,Air India ,00:50,03:00,2h 10m,"4,719",19-08-2025,Economy
IndiGo - 656,BOM,DEL,IndiGo ,05:00,07:05,2h 05m,"4,970",19-08-2025,Economy
Air India - 2930,BOM,DEL,Air India ,05:15,07:35,2h 20m,"4,800",19-08-2025,Economy
IndiGo - 6045,BOM,DEL,IndiGo ,03:00,05:15,2h 15m,"4,599",19-08-2025,Economy
IndiGo - 6028,BOM,DEL,IndiGo ,12:30,14:40,2h 10m,"5,070",19-08-2025,Economy
Air India Exp - 1176,BOM,HDO,Air India Exp ,04:30,06:45,2h 15m,"4,801",19-08-2025,Economy
Air India - 2424,BOM,DEL,Air India ,04:25,06:35,2h 10m,"5,193",19-08-2025,Economy
Air India - 2428,BOM,DEL,Air India ,06:40,08:45,2h 05m,"5,574",19-08-2025,Economy
IndiGo - 2775,BOM,DEL,IndiGo ,01:15,03:15,2h,"5,380",19-08-2025,Economy
IndiGo - 6827,BOM,DEL,IndiGo ,11:15,13:30,2h 15m,"5,070",19-08-2025,Economy
Air India - 2954,BOM,DEL,Air India ,02:35,05:00,2h 25m,"4,719",19-08-2025,Economy
Akasa Air - 1410,BOM,DEL,Akasa Air ,07:05,09:20,2h 15m,"5,178",19-08-2025,Economy
Air India - 2419,BOM,DEL,Air India ,11:40,13:55,2h 15m,"5,431",19-08-2025,Economy
